編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
594,Ty.+王心凌,Solo / Group,,,,0
595,天舞,Solo / Group,,,,0
596,A-Lin+小宇,Solo / Group,,,,0
597,鄭進一+安迪+唐從聖,Solo / Group,,,,0
598,蕭全,Solo / Group,,,,0
599,荒山亮,Solo / Group,,,,0
600,豆心,Solo / Group,,,,0
601,麥小兜,Solo / Group,,,,0
602,張芯瑜,Solo / Group,,,,0
603,陳明喜,Solo / Group,,,,0
604,巴音汗,Solo / Group,,,,0
605,張艾嘉+劉若英+李心潔,Solo / Group,,,,0
606,信,Solo / Group,,,,0
607,陳慧琳+許志安+ON-LINE,Solo / Group,,,,0
608,影子計劃+黃品源,Solo / Group,,,,0
609,Dollyy,Solo / Group,,,,0
610,王靖雯,Solo / Group,,,,0
611,FLUX,Solo / Group,,,,0
612,你的上好佳,Solo / Group,,,,0
613,辛雯,Solo / Group,,,,0
614,2Moro,Solo / Group,,,,0
615,哈特利唱將+爐石神瘦瘦,Solo / Group,,,,0
616,承桓,Solo / Group,,,,0
617,林依輪,Solo / Group,,,,0
